case_received_date,case_status,class_of_admission,country_of_citizenship,decision_date,employer_city,employer_country,employer_name,employer_state,foreign_worker_info_birth_country,job_info_education,pw_determ_date,pw_expire_date,pw_job_title_9089,Processing Day
19-11-2013,Certified,H-1B,INDIA,29-05-2015,WAUKESHA,UNITED STATES OF AMERICA,GENERAC POWER SYSTEMS,WISCONSIN,INDIA,Bachelor's,27-09-2013,30-06-2014,Industrial Engineers,556
27-11-2013,Denied,H-1B,GERMANY,16-10-2014,AURORA,UNITED STATES OF AMERICA,"AVIDITY, LLC",COLORADO,GERMANY,Doctorate,27-08-2013,30-06-2014,Protein Production Scientist,323
13-11-2013,Certified,E-2,SOUTH KOREA,26-05-2015,LYNNWOOD,UNITED STATES OF AMERICA,STAR COMMUNICATIONS LLC,WASHINGTON,SOUTH KOREA,Master's,23-09-2013,30-06-2014,Market Research Analysts and Marketing Specialists,559
02-07-2014,Certified-Expired,H-1B,CANADA,01-12-2014,NEW YORK,UNITED STATES OF AMERICA,TALBERT & TALBERT LLC,NEW YORK,CANADA,Bachelor's,15-01-2014,30-06-2014,Public Relations Specialists,152
13-11-2013,Certified-Expired,H-1B,INDIA,30-03-2015,COLLEGE STATION,UNITED STATES OF AMERICA,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,TEXAS,INDIA,Bachelor's,23-07-2013,30-06-2014,Computer Systems Analysts,502
13-11-2013,Certified,H-1B,BRAZIL,28-05-2015,GALENA PARK,UNITED STATES OF AMERICA,"GREEN EARTH FUELS OF HOUSTON, LLC.",TEXAS,BRAZIL,Bachelor's,25-06-2013,23-09-2013,Market Research Analysts and Marketing Specialists,561
13-11-2013,Certified-Expired,H-1B,INDIA,30-03-2015,COLLEGE STATION,UNITED STATES OF AMERICA,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,TEXAS,INDIA,Bachelor's,23-07-2013,30-06-2014,Computer Systems Analysts,502
15-11-2013,Certified,L-1,BELARUS,13-05-2015,NEWTOWN,UNITED STATES OF AMERICA,"EPAM SYSTEMS, INC",PENNSYLVANIA,UKRAINE,Master's,21-08-2013,30-06-2014,"Software Developers, Applications",544
14-11-2013,Certified,H-1B,INDIA,20-05-2015,FEDERAL WAY,UNITED STATES OF AMERICA,APPLEXUS TECHNOLOGIES LLC,WASHINGTON,INDIA,Master's,20-06-2013,18-09-2013,"SOFTWARE DEVELOPERS, APPLICATIONS",552
30-06-2014,Certified,H-1B,CHINA,11-09-2015,MILPITAS,UNITED STATES OF AMERICA,"ARRAY NETWORKS, INC.",CALIFORNIA,CHINA,Master's,10-06-2014,08-09-2014,"Software Developers, Applications",438
18-11-2013,Certified,H-1B,INDIA,26-05-2015,DALLAS,UNITED STATES OF AMERICA,"HUNT CONSOLIDATED, INC.",TEXAS,INDIA,Master's,21-08-2013,30-06-2014,Computer Systems Analysts,554
04-12-2013,Certified,H-1B,CHINA,09-06-2015,CHESTERFIELD,UNITED STATES OF AMERICA,RGA REINSURANCE,MISSOURI,CHINA,Master's,21-05-2013,19-08-2013,Financial Analysts,552
22-11-2013,Certified,L-1,GERMANY,20-05-2015,NEWTOWN SQUARE,UNITED STATES OF AMERICA,"SAP AMERICA, INC.",PENNSYLVANIA,GERMANY,Bachelor's,25-04-2013,24-07-2013,Computer Systems Analysts,544
30-12-2013,Certified,F-1,PAKISTAN,11-06-2015,PRINCETON,UNITED STATES OF AMERICA,"DOUBLEBRIDGE TECHNOLOGIES, INC.",NEW JERSEY,PAKISTAN,Master's,30-09-2013,30-06-2014,"Software Developers, Applications",528
03-12-2013,Certified,Parolee,INDIA,03-06-2015,SAN DIEGO,UNITED STATES OF AMERICA,QUALCOMM TECHNOLOGIES INC.,CALIFORNIA,INDIA,Master's,29-05-2013,27-08-2013,"Software Developers, Systems Software",547
13-01-2014,Certified,H-1B,GUATEMALA,23-06-2015,GLENNVILLE,UNITED STATES OF AMERICA,"BLAND FARMS, LLC",GEORGIA,GUATEMALA,Bachelor's,28-08-2013,30-06-2014,"Farmers, Ranchers, and Other Agricultural Managers",526
14-11-2013,Certified-Expired,H-1B,INDIA,01-04-2015,COLLEGE STATION,UNITED STATES OF AMERICA,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,TEXAS,INDIA,Bachelor's,23-07-2013,30-06-2014,Computer Systems Analysts,503
19-10-2014,Certified-Expired,H-1B,CHINA,10-03-2015,PHILADELPHIA,UNITED STATES OF AMERICA,TOWERS WATSON PENNSYLVANIA INC.,PENNSYLVANIA,CHINA,Bachelor's,31-07-2014,30-06-2015,Financial Analyst,142
14-11-2013,Certified-Expired,H-1B,INDIA,01-04-2015,COLLEGE STATION,UNITED STATES OF AMERICA,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,TEXAS,INDIA,Bachelor's,19-07-2013,30-06-2014,"Software Developers, Applications",503
13-11-2013,Certified,H-1B,INDIA,01-09-2015,RALEIGH,UNITED STATES OF AMERICA,"SMART SWITCH, LLC",NORTH CAROLINA,INDIA,Master's,13-08-2013,30-06-2014,"Software Developers, Applications",657
31-08-2009,Denied,E-1,TURKEY,10-09-2015,NEW YORK,UNITED STATES OF AMERICA,"MARATHON LINE N.Y., INC.",NEW YORK,TURKEY,Master's,04-06-2009,02-09-2009,President,2201
06-10-2014,Certified-Expired,H-1B,ARGENTINA,03-03-2015,PULLMAN,UNITED STATES OF AMERICA,WASHINGTON STATE UNIVERSITY,WASHINGTON,ARGENTINA,Doctorate,26-09-2014,30-06-2015,"Health SpecialtiesTeachers, Postsecondary",148
10-02-2014,Certified,H-1B,CHINA,16-07-2015,RALEIGH,UNITED STATES OF AMERICA,MEREDITH COLLEGE,NORTH CAROLINA,CHINA,Master's,05-09-2013,30-06-2014,Operations Research Analysts,521
13-11-2013,Certified-Expired,H-1B,INDIA,30-03-2015,COLLEGE STATION,UNITED STATES OF AMERICA,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,TEXAS,INDIA,Bachelor's,23-07-2013,30-06-2014,Computer Systems Analysts,502
28-09-2010,Certified-Expired,H-1B,INDIA,27-03-2015,IRVING,UNITED STATES OF AMERICA,PERITUS INC,TEXAS,INDIA,Bachelor's,02-07-2010,30-09-2010,Database Administrator,1641
14-11-2013,Certified-Expired,H-1B,INDIA,01-04-2015,COLLEGE STATION,UNITED STATES OF AMERICA,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,TEXAS,INDIA,Master's,19-07-2013,30-06-2014,Computer Systems Analysts,503
04-12-2013,Certified,L-1,FRANCE,11-06-2015,SANTA CLARA,UNITED STATES OF AMERICA,"APPLIED MATERIALS, INC.",CALIFORNIA,FRANCE,Associate's,29-08-2013,30-06-2014,Electrical and Electronics Engineering Technician,554
18-11-2013,Certified,H-1B,INDIA,28-05-2015,ISELIN,UNITED STATES OF AMERICA,VST CONSULTING INC,NEW JERSEY,INDIA,Master's,09-07-2013,30-06-2014,"Software Developers, Applications",556
13-11-2013,Certified,H-1B,JAPAN,20-05-2015,GROVE CITY,UNITED STATES OF AMERICA,"HOKUTO USA, INC.",OHIO,JAPAN,Bachelor's,20-05-2013,18-08-2013,Project Manager,553
12-11-2013,Certified,H-1B,INDIA,21-05-2015,WEST DES MOINES,UNITED STATES OF AMERICA,EXELON WIND LLC,IOWA,INDIA,Bachelor's,09-09-2013,30-06-2014,Industrial Engineers,555
10-12-2013,Certified,H-1B,CANADA,08-06-2015,COLUMBUS,UNITED STATES OF AMERICA,"LHP SOFTWARE, LLC",INDIANA,CHINA,Master's,27-09-2013,30-06-2014,"Software Developers, Systems Software",545
27-11-2013,Certified,H-1B,JAPAN,13-05-2015,MOUNTAIN VIEW,UNITED STATES OF AMERICA,LINKEDIN CORPORATION,CALIFORNIA,JAPAN,Master's,07-11-2013,30-06-2014,"Software Developers, Applications",532
24-02-2014,Certified,H-1B,UKRAINE,29-06-2015,PHILADELPHIA,UNITED STATES OF AMERICA,"COMCAST CABLE COMMUNICATIONS, LLC",PENNSYLVANIA,RUSSIA,Bachelor's,09-09-2013,30-06-2014,"Software Developers, Applications",490
31-10-2013,Certified,H-1B,INDIA,23-06-2015,SAN DIEGO,UNITED STATES OF AMERICA,"OMNITRACS, INC.",CALIFORNIA,INDIA,Master's,25-04-2013,24-07-2013,COMPUTER SYSTEMS ANALYST,600
14-11-2013,Certified-Expired,L-1,INDIA,01-04-2015,COLLEGE STATION,UNITED STATES OF AMERICA,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,TEXAS,INDIA,Master's,19-07-2013,30-06-2014,Computer Systems Analysts,503
07-01-2014,Certified,H-1B,CHINA,30-06-2015,SAN DIEGO,UNITED STATES OF AMERICA,QUALCOMM TECHNOLOGIES INC.,CALIFORNIA,CHINA,Master's,19-07-2013,30-06-2014,"Electronics Engineers, Except Computer",539
20-12-2013,Certified,H-1B,SOUTH KOREA,29-05-2015,AUGUSTA,UNITED STATES OF AMERICA,BOR USGA OBO GEORGIA REGENTS UNIVERSITY,GEORGIA,SOUTH KOREA,Master's,04-12-2013,30-06-2014,"Business Teachers, Postsecondary",525
12-11-2013,Certified,H-1B,INDIA,02-06-2015,SUNNYVALE,UNITED STATES OF AMERICA,HORIZON TECHNOLOGIES INC,CALIFORNIA,INDIA,Master's,06-08-2013,30-06-2014,Computer Systems Analysts,567
04-12-2013,Certified,H-1B,INDIA,29-05-2015,NORFOLK,UNITED STATES OF AMERICA,"DOMINION DMS, LLC",VIRGINIA,INDIA,Bachelor's,29-07-2013,30-06-2014,"Software Developers, Applications",541
14-11-2013,Certified,H-1B,INDIA,12-05-2015,PLEASANTON,UNITED STATES OF AMERICA,"BLACKHAWK NETWORK, INC.",CALIFORNIA,INDIA,Master's,07-05-2013,05-08-2013,"Software Developers, Applications",544
18-11-2013,Certified,H-1B,INDIA,11-05-2015,NEW YORK,UNITED STATES OF AMERICA,"VERIZON COMMUNICATIONS INC., & ALL ITS SUBSIDIARIES & AFFILIATES",NEW YORK,INDIA,Master's,22-08-2013,30-06-2014,"Software Developers, Applications",539
14-11-2013,Certified-Expired,H-1B,INDIA,01-04-2015,COLLEGE STATION,UNITED STATES OF AMERICA,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,TEXAS,INDIA,Bachelor's,23-07-2013,30-06-2014,Computer Systems Analysts,503
19-11-2013,Certified,H-1B,INDIA,21-05-2015,EDISON,UNITED STATES OF AMERICA,"JM INFORMATION SYSTEMS,LLC",NEW JERSEY,INDIA,Master's,29-10-2013,30-06-2014,"Software Developers, Applications",548
09-12-2013,Certified,H-1B,INDIA,17-06-2015,NEW YORK,UNITED STATES OF AMERICA,CREDIT SUISSE SECURITIES (USA) LLC,NEW YORK,INDIA,Master's,24-07-2013,30-06-2014,"Software Developers, Applications",555
02-01-2014,Certified,H-1B,PHILIPPINES,17-06-2015,NEW YORK,UNITED STATES OF AMERICA,ALLEN & COMPANY LLC,NEW YORK,PHILIPPINES,Master's,04-09-2013,30-06-2014,Computer Programmers,531
15-11-2013,Certified,H-1B,INDIA,08-05-2015,REDWOOD SHORES,UNITED STATES OF AMERICA,"ORACLE AMERICA, INC.",CALIFORNIA,INDIA,Bachelor's,13-05-2013,11-08-2013,"Software Developers, Applications",539
26-11-2013,Certified,H-1B,CHINA,12-05-2015,REDWOOD SHORES,UNITED STATES OF AMERICA,"ORACLE AMERICA, INC.",CALIFORNIA,CHINA,Master's,08-07-2013,30-06-2014,"Software Developer, Systems Software",532
14-11-2013,Certified-Expired,H-1B,INDIA,01-04-2015,COLLEGE STATION,UNITED STATES OF AMERICA,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,TEXAS,INDIA,Bachelor's,23-07-2013,30-06-2014,Computer Systems Analysts,503
